id,name,ai,str,sta,dex,intl,HR,ER,Race,Belligerence,Gender,Level,FlightLevel,Size,Class,ifPart,Karma,Useable,AtkMin,AtkMax,Atk1,Atk2,Atk3,HorizontalRate,VerticalRate,DiagonalRate,ThrustRate,ChestRate,HeadRate,ArmRate,ReAttackDelay,AddHp,AddMp,NeturealArmor,Abrasion,Hardness,AdjAtkDelay,ElementalType,ElementalAtk,HideLevel,Speed,Shelter,Flying,Jumping,Airjump,Taming,ResistMagic,ResistElectricity,ResistFire,ResistWind,ResistWater,ResistEarth,Cash,SourceMaterial,MaterialAmmount,Cohesion,HoldingTime,CorrectionValue,ExpValue,FxpValue,BodyState,AddAbility,VirtItem1,VirtType1,VirtItem2,VirtType2,VirtItem3,VirtType3,SndAtk1,SndAtk2,SndDie1,SndDie2,SndDmg1,SndDmg2,SndDmg3,SndIdle1,SndIdle2,comment,giant
10,Default,1,10,10,10,10,10,10,-1,1,-1,-1,-1,100,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,0.1,-1,0,-1,-1,-1,0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
11,Male,1,10,10,10,10,10,10,-1,1,-1,-1,65,100,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,0,130,0,-1,0,0,-1,0.1,-1,0,-1,-1,-1,0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
12,Female,1,10,10,10,10,10,10,-1,1,-1,-1,65,100,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,0,130,0,-1,0,0,-1,0.1,-1,0,-1,-1,-1,0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
20,Small Aibatt,2,15,20,15,13,40,3,-1,11,-1,1,-1,100,1,0,-1,1,15,16,9000,9001,9002,-1,-1.0,-1,-1,-1,-1,-1,6000,120,100,3,130,0,-1,4,0,-1,0.075,-1,0,-1,-1,-1,1,0.0,-0.3,0.0,0.0,0.3,8,-1,-1,-1,-1,25,2,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
21,Aibatt,2,15,20,15,13,40,3,-1,11,-1,1,-1,100,2,0,-1,1,15,16,9003,9004,9005,-1,-1.0,-1,-1,-1,-1,-1,6000,148,100,3,130,0,-1,4,0,-1,0.075,-1,0,-1,-1,-1,1,0.0,-0.3,0.0,0.0,0.3,8,-1,-1,-1,-1,50,2,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
22,Captain Aibatt,2,15,20,17,14,40,5,-1,11,-1,2,-1,100,3,0,-1,1,16,17,9006,9007,9008,-1,-1.0,-1,-1,-1,-1,-1,5500,190,100,5,130,0,-1,4,0,-1,0.08,-1,0,-1,-1,-1,2,0.0,-0.3,0.0,0.0,0.3,10,-1,-1,-1,-1,16,3,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
23,Giant Aibatt,2,15,20,23,20,60,9,-1,11,-1,5,-1,400,4,0,-1,1,101,106,9009,9010,9011,-1,-1.0,-1,-1,-1,-1,-1,3000,14326,100,10,130,0,-1,1,0,-1,0.075,-1,0,-1,-1,-1,5,0.0,0.0,0.3,-0.3,0.0,98,-1,-1,-1,-1,70,40,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
24,Small Burudeng,2,15,20,23,20,40,9,-1,11,-1,5,-1,100,1,0,-1,1,26,28,9024,9025,9026,-1,2.0,0,-1,-1,-1,-1,5000,745,100,8,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,5,0.0,0.0,0.0,0.3,-0.3,14,-1,-1,-1,-1,25,9,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
25,Burudeng,2,15,20,23,20,40,9,-1,11,-1,5,-1,100,2,0,-1,1,27,29,9027,9028,9029,-1,2.0,0,-1,-1,-1,-1,5000,745,100,8,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,5,0.0,0.0,0.0,0.3,-0.3,14,-1,-1,-1,-1,50,9,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
26,Captain Burudeng,2,15,20,25,21,40,10,-1,11,-1,6,-1,100,3,0,-1,1,28,30,9030,9031,9032,-1,2.0,0,-1,-1,-1,-1,5000,793,100,9,130,0,-1,3,0,-1,0.08,-1,0,-1,-1,-1,6,0.0,0.0,0.0,0.3,-0.3,16,-1,-1,-1,-1,16,11,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
27,Giant Burudeng,2,15,20,31,26,70,24,-1,11,-1,9,-1,400,4,0,-1,1,169,178,9033,9034,9035,-1,-1.0,0,-1,-1,-1,-1,3000,24323,100,20,130,0,-1,4,0,-1,0.075,-1,0,-1,-1,-1,9,0.0,-0.3,0.0,0.0,0.3,154,-1,-1,-1,-1,30,66,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
28,Small Pukepuke,2,15,20,27,23,40,11,-1,11,-1,7,-1,100,1,0,-1,1,36,38,9036,9037,9038,-1,1.0,-1,-1,-1,-1,-1,4500,1112,100,10,130,0,-1,1,0,-1,0.075,-1,0,-1,-1,-1,7,0.0,0.0,0.3,-0.3,0.0,18,-1,-1,-1,-1,25,12,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
29,Pukepuke,2,15,20,27,23,40,11,-1,11,-1,7,-1,100,2,0,-1,1,37,39,9039,9040,9041,-1,1.0,-1,-1,-1,-1,-1,4500,1112,100,10,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,7,0.3,0.0,-0.3,0.0,0.0,18,-1,-1,-1,-1,50,13,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
30,Captain Pukepuke,2,15,20,29,25,40,13,-1,11,-1,8,-1,100,3,0,-1,1,39,41,9042,9043,9044,-1,1.0,-1,-1,-1,-1,-1,4500,1180,100,11,130,0,-1,1,0,-1,0.08,-1,0,-1,-1,-1,8,0.0,0.0,0.3,-0.3,0.0,20,-1,-1,-1,-1,16,13,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
31,Giant Pukepuke,2,15,20,35,30,70,26,-1,11,-1,11,-1,400,4,0,-1,1,200,210,9045,9046,9047,-1,1.0,-1,-1,-1,-1,-1,3000,31556,100,25,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,11,0.3,0.0,-0.3,0.0,0.0,182,-1,-1,-1,-1,220,81,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
32,Small Doridoma,2,15,20,35,30,21,18,-1,12,-1,11,-1,100,1,0,-1,1,66,69,9060,9061,9062,-1,1.0,-1,-1,-1,-1,-1,4000,1851,100,17,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,11,-0.3,0.3,0.0,0.0,0.0,26,-1,-1,-1,-1,21,18,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
33,Doridoma,2,15,20,35,30,22,18,-1,12,-1,11,-1,100,2,0,-1,1,68,72,9063,9064,9065,-1,1.0,-1,-1,-1,-1,-1,4000,1851,100,17,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,11,0.0,0.0,0.0,0.3,-0.3,26,-1,-1,-1,-1,50,18,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
34,Captain Doridoma,2,15,20,37,31,23,19,-1,12,-1,12,-1,100,3,0,-1,1,73,76,9066,9067,9068,-1,1.0,-1,-1,-1,-1,-1,4000,1939,100,18,130,0,-1,2,0,-1,0.08,-1,0,-1,-1,-1,12,-0.3,0.3,0.0,0.0,0.0,28,-1,-1,-1,-1,14,20,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
35,Giant Doridoma,2,15,20,43,37,70,36,-1,12,-1,15,-1,400,4,0,-1,1,257,271,9069,9070,9071,-1,-1.0,-1,-1,-1,-1,-1,3000,47784,100,35,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,15,0.0,0.0,0.0,0.3,-0.3,245,-1,-1,-1,-1,340,132,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
36,Young Lawolf,2,15,20,39,33,24,20,-1,11,-1,13,-1,100,1,0,-1,1,84,88,9072,9073,9074,-1,-1.0,0,-1,-1,-1,-1,4000,2297,100,19,130,0,-1,1,0,-1,0.075,-1,0,-1,-1,-1,13,0.0,0.0,0.3,-0.3,0.0,30,-1,-1,-1,-1,13,22,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
37,Lawolf,2,15,20,39,33,25,20,-1,11,-1,13,-1,100,2,0,-1,1,87,91,9075,9076,9077,-1,-1.0,0,-1,-1,-1,-1,4000,2297,100,19,130,0,-1,4,0,-1,0.075,-1,0,-1,-1,-1,13,0.0,-0.3,0.0,0.0,0.3,30,-1,-1,-1,-1,50,23,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
38,Grownup Lawolf,2,15,20,41,35,26,21,-1,11,-1,14,-1,100,3,0,-1,1,91,96,9078,9079,9080,-1,-1.0,0,-1,-1,-1,-1,4000,2398,100,20,130,0,-1,1,0,-1,0.08,-1,0,-1,-1,-1,14,0.0,0.0,0.3,-0.3,0.0,33,-1,-1,-1,-1,9,25,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
39,Giant Lawolf,2,15,20,47,40,70,38,-1,11,-1,17,-1,400,4,0,-1,1,285,300,9081,9082,9083,-1,0.0,0,-1,-1,-1,-1,3000,52852,100,40,130,0,-1,4,0,-1,0.075,-1,0,-1,-1,-1,17,0.0,-0.3,0.0,0.0,0.3,252,-1,-1,-1,-1,360,168,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
40,Cute Nyangnyang,2,15,20,47,40,30,24,-1,12,-1,17,-1,100,1,0,-1,1,127,134,9096,9097,9098,-1,-1.0,-1,-1,-1,-1,-1,3500,3080,100,25,130,0,-1,1,0,-1,0.075,-1,0,-1,-1,-1,17,0.0,0.0,0.3,-0.3,0.0,36,-1,-1,-1,-1,13,36,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
